group	Station	Latitude	Longitude	Depth	Province
ERX289005	2	TARA_007	37.051	1.9378	5	MEDI
ERX289004	1	TARA_007	37.0541	1.9478	42	MEDI
ERX289007	12	TARA_023	42.2038	17.715	5	MEDI
ERX289009	12	TARA_023	42.2038	17.715	5	MEDI
ERX289006	11	TARA_023	42.1735	17.7252	55	MEDI
ERX289008	11	TARA_023	42.1735	17.7252	55	MEDI
ERX552331	10	TARA_023	42.1735	17.7252	55	MEDI
ERX289010	19	TARA_030	33.9179	32.898	5	MEDI
ERX289011	19	TARA_030	33.9179	32.898	5	MEDI
ERX291766	18	TARA_030	33.9235	32.8118	70	MEDI
ERX291768	18	TARA_030	33.9235	32.8118	70	MEDI
ERX291769	18	TARA_030	33.9235	32.8118	70	MEDI
ERX291767	18	TARA_030	33.9235	32.8118	70	MEDI
ERX552368	17	TARA_030	33.9235	32.8118	70	MEDI
ERX552288	4	TARA_009	39.1633	5.916	5	MEDI
ERX552251	4	TARA_009	39.1633	5.916	5	MEDI
ERX552248	4	TARA_009	39.1633	5.916	5	MEDI
ERX552291	3	TARA_009	39.0609	5.9422	55	MEDI
ERX552303	3	TARA_009	39.0609	5.9422	55	MEDI
ERX555914	8	TARA_018	35.759	14.2574	5	MEDI
ERX556002	8	TARA_018	35.759	14.2574	5	MEDI
ERX552351	7	TARA_018	35.759	14.2574	5	MEDI
ERX555962	6	TARA_018	35.7528	14.2765	60	MEDI
ERX556039	6	TARA_018	35.7528	14.2765	60	MEDI
ERX552325	5	TARA_018	35.7528	14.2765	60	MEDI
ERX552350	9	TARA_022	39.8386	17.4155	5	MEDI
ERX552330	9	TARA_022	39.8386	17.4155	5	MEDI
ERX556082	16	TARA_025	39.3888	19.3905	5	MEDI
ERX555952	16	TARA_025	39.3888	19.3905	5	MEDI
ERX552354	15	TARA_025	39.3888	19.3905	5	MEDI
ERX556124	14	TARA_025	39.3991	19.3997	50	MEDI
ERX556032	14	TARA_025	39.3991	19.3997	50	MEDI
ERX552362	13	TARA_025	39.3991	19.3997	50	MEDI
ERX556018	21	TARA_031	27.16	34.835	5	REDS
ERX555912	21	TARA_031	27.16	34.835	5	REDS
ERX552310	20	TARA_031	27.16	34.835	5	REDS
ERX552353	20	TARA_031	27.16	34.835	5	REDS
ERX556022	25	TARA_032	23.36	37.2183	5	REDS
ERX556066	25	TARA_032	23.36	37.2183	5	REDS
ERX556080	25	TARA_032	23.36	37.2183	5	REDS
ERX552349	24	TARA_032	23.36	37.2183	5	REDS
ERX556055	23	TARA_032	23.4183	37.245	80	REDS
ERX555931	23	TARA_032	23.4183	37.245	80	REDS
ERX552360	22	TARA_032	23.4183	37.245	80	REDS
ERX555946	26	TARA_033	21.9467	38.2517	5	REDS
ERX556035	26	TARA_033	21.9467	38.2517	5	REDS
ERX555909	31	TARA_034	18.3967	39.875	5	REDS
ERX555978	31	TARA_034	18.3967	39.875	5	REDS
ERX552240	30	TARA_034	18.3967	39.875	5	REDS
ERX552335	29	TARA_034	18.3967	39.875	5	REDS
ERX552315	29	TARA_034	18.3967	39.875	5	REDS
ERX555956	28	TARA_034	18.4417	39.8567	60	REDS
ERX556025	28	TARA_034	18.4417	39.8567	60	REDS
ERX552314	27	TARA_034	18.4417	39.8567	60	REDS
